Player,Mocks,ESPNBB,Athleticism,Production,DraftScore,PFFGrade,PFFBB,Age,Height,Weight,Attempts,Rec,Ypa
Abram Smith,207,213,70,74,71,90.2,225,23.5,72,213,258,12,6.2
D'Vonte Price,224,205,69,58,57,77.4,184,21.4,73,210,128,10,5.3
Keanotay Ingram,244,242,68,61,59,87.3,168,22.4,72,221,156,22,5.8
ZaQuandre White,254,265,59,68,63,82.5,158,23.3,72,206,89,19,6.3
Tyler Goodson,256,281,89,59,69,69.9,259,21.4,69,197,256,31,4.5
Tyrion Davis-Price,271,175,70,55,57,78.5,172,21.4,73,219,211,10,4.8
Kennedy Brooks,278,321,66,70,67,88,311,23.5,71,213,197,9,6.4
Zonovan Knight,290,223,72,58,62,75.1,152,21,71,209,139,21,5.4
Isaih Pacheco,299,299,77,52,58,76.7,334,23.1,70,216,166,13,3.9
Jerrion Ealy,302,350,74,65,68,86,221,21.6,68,187,132,32,5.9
Jashaun Corbin,311,285,71,59,62,75.4,305,21.6,71,221,142,24,6.2
